id	type_id	title	description	location_x	location_y	ratio	due	creator_id	background_class	component_picture_url	created_at	updated_at	privacy_id	order	status
															
1	2	cute 1	cutee	71	126	177	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-1-sm.png	0000-00-00 00:00:00	3/25/2017 7:22	0	0	0
2	2	cute 2	cutee	62	81	131	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-2-sm.png	0000-00-00 00:00:00	3/25/2017 7:23	0	0	0
3	2	cute 3	cutee	62	67	108	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-3-sm.png	0000-00-00 00:00:00	3/25/2017 7:21	0	0	0
4	2	cute 4	cutee	58	39	67	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-4-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
5	2	cute 5	cutee	18	15	84	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-5-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
6	2	cute 6	cutee	53	46	85	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-6-sm.png	0000-00-00 00:00:00	3/24/2017 10:58	0	0	0
7	2	cute 7	cutee	38	37	99	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-7-sm.png	0000-00-00 00:00:00	3/24/2017 22:20	0	0	0
8	2	cute 8	cutee	53	44	83	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-8-sm.png	0000-00-00 00:00:00	3/24/2017 22:18	0	0	0
9	2	cute 1	cutee	38	65	170	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-9-sm.png	0000-00-00 00:00:00	3/25/2017 7:22	0	0	0
10	2	cute 2	cutee	92	132	143	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-10-sm.png	0000-00-00 00:00:00	3/25/2017 2:17	0	0	0
11	2	cute 3	cutee	47	46	98	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-11-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
12	2	cute 4	cutee	66	66	99	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-12-sm.png	0000-00-00 00:00:00	3/24/2017 10:58	0	0	0
13	2	cute 5	cutee	32	36	113	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-13-sm.png	0000-00-00 00:00:00	3/24/2017 10:58	0	0	0
14	3	cute 9	cutee	39	47	121	0000-00-00 00:00:00	1	ct-grass-2	dog/dog-1-1-1-1-sm.png	0000-00-00 00:00:00	3/25/2017 2:21	0	0	0
15	3	cute 10	cutee	74	84	113	0000-00-00 00:00:00	1	ct-grass-2	dog/dog-1-1-1-2-sm.png	0000-00-00 00:00:00	3/24/2017 22:10	0	0	0
16	3	cute 11	cutee	39	38	95	0000-00-00 00:00:00	1	ct-grass-2	dog/dog-1-1-1-3-sm.png	0000-00-00 00:00:00	3/24/2017 22:10	0	0	0
17	3	cute 12	cutee	67	50	74	0000-00-00 00:00:00	1	ct-grass-2	dog/dog-1-1-1-4-sm.png	0000-00-00 00:00:00	3/24/2017 11:45	0	0	0
18	4	cute 13	cutee	16	22	138	0000-00-00 00:00:00	1	ct-grass-3	chicken/chicken-1-1-1-1-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
19	4	cute 14	cutee	4	5	113	0000-00-00 00:00:00	1	ct-grass-3	chicken/chicken-1-1-1-2-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
20	4	cute 15	cutee	80	75	94	0000-00-00 00:00:00	1	ct-grass-3	chicken/chicken-1-1-1-3-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
21	4	cute 16	cutee	81	118	144	0000-00-00 00:00:00	1	ct-grass-3	chicken/chicken-1-1-1-4-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
22	4	cute 17	cutee	94	105	111	0000-00-00 00:00:00	1	ct-grass-3	chicken/chicken-1-1-1-5-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
23	5	cute 18	cutee	12	12	1	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-1-sm.png	0000-00-00 00:00:00	0000-00-00 00:00:00	0	0	0
24	5	cute 19	cutee	92	107	116	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-2-sm.png	0000-00-00 00:00:00	3/24/2017 22:12	0	0	0
25	5	cute 20	cutee	25	33	131	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-3-sm.png	0000-00-00 00:00:00	3/24/2017 22:11	0	0	0
26	5	cute 21	cutee	47	30	65	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-4-sm.png	0000-00-00 00:00:00	3/24/2017 22:12	0	0	0
27	5	cute 22	cutee	76	77	102	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-5-sm.png	0000-00-00 00:00:00	3/25/2017 2:18	0	0	0
28	5	cute 23	cutee	35	49	141	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-6-sm.png	0000-00-00 00:00:00	3/24/2017 22:12	0	0	0
29	5	cute 24	cutee	12	12	1	0000-00-00 00:00:00	1	ct-grass-4	cow/cow-1-1-1-7-sm.png	0000-00-00 00:00:00	0000-00-00 00:00:00	0	0	0
